bin,completeness,contamination,strain_heterogeneity,length,N50,drep_cluster,drep_winner,gtdb_classification,ncbi_classification
220808_BK_F14_DNA_mat_black_2_bin.38,60.88,3.89,0,3221475,4487,518_1,220808_BK_F14_DNA_mat_black_1_bin.33,d__Bacteria;p__Planctomycetota;c__UBA11346;o__UBA11346;f__UBA11346;g__;s__,d__Bacteria;p__Planctomycetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.4,91.48,5.34,16.67,3161844,30423,335_1,220808_BK_F14_DNA_mat_black_2_bin.4,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__UBA1924;s__,d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.40,7.68,0,0,331229,2805,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_black_2_bin.42,26.33,0,0,914352,3498,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.44,85.54,2.68,50,3183529,6974,233_1,220808_BK_F14_DNA_mat_dualtone_bin.35,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Tc-Br11-B2g6-7;s__,d__Bacteria;p__Bacteroidetes;c__;o__Bacteroidetes Order II. Incertae sedis;f__Rhodothermaceae;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.45,46.83,0.64,16.67,2060828,4096,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Rubricoccaceae;g__Rubricoccus;s__,d__Bacteria;p__Rhodothermaeota;c__Rhodothermia;o__Rhodothermales;f__Rubricoccaceae;g__Rubricoccus;s__
220808_BK_F14_DNA_mat_black_2_bin.46,10.59,0,0,786885,3285,NA,NA,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__RSA9;g__JAHWKI01;s__,d__Bacteria;p__Gemmatimonadetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.47,31.5,6.03,0,2674278,1772,NA,NA,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__;s__,d__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.48,0,0,0,312363,3150,NA,NA,Unclassified,Unclassified
220808_BK_F14_DNA_mat_black_2_bin.49,31.03,1.72,0,2860589,3780,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__;g__;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.5,67.63,0,0,2782265,5211,327_0,220808_BK_F14_DNA_mat_black_2_bin.5,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nitriliruptorales;f__;g__;s__,d__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Nitriliruptorales;f__;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.50,31.21,0,0,766996,3433,NA,NA,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Haloferula;s__,d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Haloferula;s__
220808_BK_F14_DNA_mat_black_2_bin.51,0,0,0,601667,3069,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_black_2_bin.52,92.05,1.7,0,3581732,60126,217_1,220808_BK_F14_DNA_mat_black_2_bin.52,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__;g__;s__,d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.53,75.04,1.27,0,3111013,7062,297_0,220808_BK_F14_DNA_mat_black_2_bin.53,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__;s__,d__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Trueperales;f__Trueperaceae;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.6,94.83,69.44,6.25,7164615,7751,NA,NA,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__;g__;s__,d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.7,0,0,0,623575,3250,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_black_2_bin.8,4.17,0,0,585828,3312,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_black_2_bin.9,44.48,0,0,1355352,3993,NA,NA,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__JACKHF01;s__,d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__
220808_BK_F14_DNA_mat_dualtone_bin.1,13.75,0,0,520038,3994,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Erythrobacter;s__
220808_BK_F14_DNA_mat_dualtone_bin.10,56.78,1.07,50,2672772,3893,477_1,220808_BK_F14_DNA_mat_black_2_bin.29,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__IMCC34051;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__
220808_BK_F14_DNA_mat_dualtone_bin.11,45.86,6.9,0,2342524,3729,NA,NA,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__Nodosilinea;s__,d__Bacteria;p__Cyanobacteria;c__;o__Pseudanabaenales;f__Prochlorotrichaceae;g__Nodosilinea;s__
220808_BK_F14_DNA_mat_dualtone_bin.12,58.62,7.76,20,2655922,7997,447_0,220808_BK_F14_DNA_mat_dualtone_bin.12,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodophyticola;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__
220808_BK_F14_DNA_mat_dualtone_bin.13,89.68,2.78,0,6443036,49850,95_0,220808_BK_F14_DNA_mat_dualtone_bin.13,d__Bacteria;p__Myxococcota;c__Bradymonadia;o__Bradymonadales;f__Bradymonadaceae;g__;s__,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bradymonadales;f__Microvenatoraceae;g__;s__
220808_BK_F14_DNA_mat_dualtone_bin.14,46.32,6.9,50,2898308,3864,NA,NA,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Ilumatobacter_A;s__,d__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Ilumatobacter;s__
220808_BK_F14_DNA_mat_dualtone_bin.16,92.01,72.81,59.46,6561297,6346,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Rubricoccaceae;g__;s__,d__Bacteria;p__Rhodothermaeota;c__Rhodothermia;o__Rhodothermales;f__Rubricoccaceae;g__;s__
220808_BK_F14_DNA_mat_dualtone_bin.19,99.19,0.9,28.57,4136469,77588,21_0,220808_BK_F14_DNA_mat_dualtone_bin.19,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__JAKVAV01;s__,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__;g__;s__
220808_BK_F14_DNA_mat_dualtone_bin.2,36.16,1.64,10,1208940,3066,NA,NA,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Planktosalinus;s__,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__
220808_BK_F14_DNA_mat_dualtone_bin.21,28.24,1.72,0,1591019,3750,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Erythrobacter;s__
220808_BK_F14_DNA_mat_dualtone_bin.23,26.54,3.1,16.67,1398822,2434,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Alteraurantiacibacter;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__;s__
220808_BK_F14_DNA_mat_dualtone_bin.24,48.3,1.06,50,2095450,4383,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseitranquillus;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseitranquillus;s__
220808_BK_F14_DNA_mat_dualtone_bin.25,84.03,7.32,34.38,3797590,6235,51_0,220808_BK_F14_DNA_mat_dualtone_bin.25,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__Phormidesmis;s__,d__Bacteria;p__Cyanobacteria;c__;o__Pseudanabaenales;f__Leptolyngbyaceae;g__Leptolyngbya;s__
220808_BK_F14_DNA_mat_dualtone_bin.26,17.14,0,0,526348,3129,NA,NA,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__GCA-2862545;g__REDI01;s__,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__
220808_BK_F14_DNA_mat_dualtone_bin.27,70.46,11.09,3.51,3399449,5144,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__;g__;s__
220808_BK_F14_DNA_mat_dualtone_bin.28,33.89,1.72,0,1301681,2847,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Salibaculum;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Salibaculum;s__
220808_BK_F14_DNA_mat_dualtone_bin.29,33.92,1.72,100,833462,2765,NA,NA,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__DSM-45221;g__UBA7441;s__,d__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae;g__;s__
220808_BK_F14_DNA_mat_dualtone_bin.3,1.91,0,0,264119,6566,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_dualtone_bin.30,83.2,83.66,12.37,7978752,4264,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseibacterium;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__
220808_BK_F14_DNA_mat_dualtone_bin.31,56.02,0.68,66.67,1249065,3991,417_2,220808_BK_F14_DNA_mat_dualtone_bin.31,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Erythrobacter;s__
220808_BK_F14_DNA_mat_dualtone_bin.32,34.13,1.08,0,1287773,3068,NA,NA,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__JANSXG01;s__,d__Bacteria;p__;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_dualtone_bin.33,6.25,0,0,355227,2988,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_dualtone_bin.35,98.59,1.41,0,3518912,20936,233_1,220808_BK_F14_DNA_mat_dualtone_bin.35,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Tc-Br11-B2g6-7;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_dualtone_bin.37,12.07,0,0,1101248,2912,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_dualtone_bin.38,4.17,0,0,623181,2401,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_dualtone_bin.40,0,0,0,367224,3028,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_dualtone_bin.42,5.64,0,0,295290,2766,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_dualtone_bin.44,80.51,1.73,20,3157883,7473,229_0,220808_BK_F14_DNA_mat_dualtone_bin.44,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Rubricoccaceae;g__Rubricoccus;s__,d__Bacteria;p__Rhodothermaeota;c__Rhodothermia;o__Rhodothermales;f__Rubricoccaceae;g__Rubricoccus;s__
220808_BK_F14_DNA_mat_dualtone_bin.45,71.77,31.11,7.69,2754088,3679,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Qipengyuania;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__
220808_BK_F14_DNA_mat_dualtone_bin.46,41.33,0,0,1832855,5261,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__;g__;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_dualtone_bin.47,4.17,0,0,1148849,3679,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_dualtone_bin.48,24.19,0,0,1573061,3302,NA,NA,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__JAEZED01;g__;s__,d__Bacteria;p__Planctomycetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_dualtone_bin.49,20.85,0,0,898267,4039,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Erythrobacter;s__
220808_BK_F14_DNA_mat_dualtone_bin.5,48.31,0.27,0,2140139,5192,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__;g__;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_dualtone_bin.50,0,0,0,965850,2986,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_dualtone_bin.51,7.76,0,0,288395,3319,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_dualtone_bin.52,14.66,0,0,351537,2954,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_dualtone_bin.7,68.05,35.67,1.96,4415760,3706,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseicyclus;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Roseicyclus;s__
220808_BK_F14_DNA_mat_dualtone_bin.8,33.84,0,0,854604,3737,NA,NA,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nitriliruptorales;f__Nitriliruptoraceae;g__;s__,d__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Salsipaludibacterales;f__Salsipaludibacteraceae;g__;s__
220808_BK_F14_DNA_mat_pink_bin.1,13.79,0,0,493683,3789,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_pink_bin.11,0,0,0,225463,41042,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_pink_bin.13,84.18,1.13,0,3235842,9772,235_1,220808_BK_F13_DNA_mat_brick_1_bin.22,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__JAAAPH01;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_pink_bin.14,78.38,5.6,33.33,3074178,12992,292_0,220808_BK_F14_DNA_mat_pink_bin.14,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Wenzhouxiangellaceae;g__;s__
220808_BK_F14_DNA_mat_pink_bin.15,87.5,3.22,50,2645385,13314,337_0,220808_BK_F14_DNA_mat_pink_bin.15,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__REDD01;s__,d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__
220808_BK_F14_DNA_mat_pink_bin.16,47,1.28,12.5,1356138,4450,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Dichotomicrobium;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;g__Dichotomicrobium;s__
220808_BK_F14_DNA_mat_pink_bin.17,38.87,0.56,0,2044852,4037,NA,NA,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__JAJDFU01;s__,d__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae;g__;s__
220808_BK_F14_DNA_mat_pink_bin.18,7.65,0,0,861987,3234,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA7803;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__
220808_BK_F14_DNA_mat_pink_bin.19,27.43,2.35,0,792495,3572,NA,NA,d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__CALTSX01;g__;s__,d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Simkaniaceae;g__;s__
220808_BK_F14_DNA_mat_pink_bin.2,82.85,9.14,1.72,2884779,5707,384_0,220808_BK_F14_DNA_mat_pink_bin.2,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__UBA5336;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__
220808_BK_F14_DNA_mat_pink_bin.20,68.11,0.78,25,1982227,4859,52_0,220808_BK_F14_DNA_mat_pink_bin.20,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Rubidibacteraceae;g__Halothece;s__,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Aphanothecaceae;g__Halothece;s__
220808_BK_F14_DNA_mat_pink_bin.21,63.66,4.15,11.63,2725270,6190,293_0,220808_BK_F14_DNA_mat_pink_bin.21,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Wenzhouxiangellaceae;g__;s__
220808_BK_F14_DNA_mat_pink_bin.22,96.8,3.2,0,3414127,13108,105_0,220808_BK_F14_DNA_mat_pink_bin.22,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__DSM-27196;f__PWMO01;g__JAAAOH01;s__,d__Bacteria;p__Spirochaetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_pink_bin.23,83.48,1.75,22.22,2233198,15622,486_1,220808_BK_F14_DNA_mat_pink_bin.23,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Dichotomicrobium;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;g__Dichotomicrobium;s__
220808_BK_F14_DNA_mat_pink_bin.24,98.94,1.94,10,4826433,48701,273_0,220808_BK_F14_DNA_mat_pink_bin.24,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Halochromatium;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Halochromatium;s__
220808_BK_F14_DNA_mat_pink_bin.26,82.83,1.49,16.67,2830686,6844,430_0,220808_BK_F14_DNA_mat_pink_bin.26,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Geminicoccales;f__Geminicoccaceae;g__JAAAPF01;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__
220808_BK_F14_DNA_mat_pink_bin.29,97.29,1.71,14.29,2284968,18235,509_0,220808_BK_F14_DNA_mat_pink_bin.29,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__JAFIFT01;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__;s__
220808_BK_F14_DNA_mat_pink_bin.3,47.99,3.41,0,1578931,3906,NA,NA,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__;s__,d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__
220808_BK_F14_DNA_mat_pink_bin.30,32.51,0.23,0,971886,3590,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Ectothiorhodospirales;f__Thioalkalivibrionaceae;g__Thioalkalivibrio;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Thioalkalivibrio;s__
220808_BK_F14_DNA_mat_pink_bin.32,81.15,2.82,16.67,3665965,13759,236_2,220808_BK_F14_DNA_mat_pink_bin.32,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__JAAAPH01;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_pink_bin.34,17.24,0,0,1032217,3462,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_pink_bin.35,87.86,3.97,50,2496476,18484,485_1,220808_BK_F14_DNA_mat_pink_bin.35,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Dichotomicrobium;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;g__Dichotomicrobium;s__
220808_BK_F14_DNA_mat_pink_bin.36,34.84,0,0,1359925,3609,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_pink_bin.37,47.02,1.22,0,1098444,6897,NA,NA,d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__JAKBEL01;s__,d__Bacteria;p__;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_pink_bin.38,13.66,0.72,0,573758,3697,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Wenzhouxiangellaceae;g__;s__
220808_BK_F14_DNA_mat_pink_bin.39,0,0,0,222611,11470,NA,NA,Unclassified,Unclassified
220808_BK_F14_DNA_mat_pink_bin.40,71.62,3.41,0,2147955,6649,332_0,220808_BK_F14_DNA_mat_pink_bin.40,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__JACKHC01;s__,d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__;g__;s__
220808_BK_F14_DNA_mat_pink_bin.41,78.31,7.44,14.29,3316157,9834,456_0,220808_BK_F14_DNA_mat_pink_bin.41,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Roseovarius;s__
220808_BK_F14_DNA_mat_pink_bin.42,12.93,0,0,492582,3680,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_pink_bin.43,14.55,0,0,583780,3405,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Thermohalobaculum;s__,d__Bacteria;p__Proteobacteria;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_pink_bin.45,12.07,0,0,645197,3032,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_pink_bin.47,14.45,0,0,840422,3444,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__;s__
220808_BK_F14_DNA_mat_pink_bin.48,77.27,7.94,18.18,1958598,5866,338_0,220808_BK_F14_DNA_mat_pink_bin.48,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__J020;s__,d__Bacteria;p__Planctomycetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_pink_bin.5,4.91,0,0,308090,2968,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_pink_bin.7,60.98,18.06,3.82,3230799,4286,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodosalinus;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodosalinus;s__
